,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,Lana Rhoades,https://www.pornhub.com/pornstar/lana-rhoades,2,407,1800000000,https://ei.phncdn.com/pics/users/318/887/681/avatar1570986139/(m=eQJ6GCjadOf)(mh=LypmbcJYkqYaHMe3)200x200.jpg,True,True,"Lana Rhoades is a Virgo born in September of 1996, which explains why her sexual style includes an obvious attention to every detail. Her interracial porn videos and gag-free deepthroat blowjob skills are approaching the legendary level as she climbs her way toward the top of the pornstar popularity list and offers her pretty face as a world class canvas for your best facial cumshots! According to interviews published online, this brunette sex symbol grew up near the Illinois border. A country girl surrounded by cornfields from a very religious family, Lana claims to have been a tomboy growing up and she was also a smart cookie who graduated from  a year early. Always an avid athlete, her academic years included plenty of time in acrobatics competitions and as a cheerleader along the sidelines of mens sporting events. As she started to rebel against her strict parents, she moved close to Chicago around the time she turned 18 years old and started working at a famous pub called The Tilted Kilt which competes with Hooters. At a really petite 53 and weighing just 115 pounds, Ms. Rhoades has a hard time finding lingerie that fits her well, but the Tilted Kilt uniforms were perfect for her busty figure with a plaid tie-on-top and a signature schoolgirl short skirt. From her early days hustling pub food for customers to her present day porn appearances, Lana has always been about servicing the needs and desires of her audience. Following a a pretty typical path into porn, Ms. Roades has said that she wanted to get into hardcore porn for a really long time, and she sent in an application to an agency but her mom found out and wouldnt let her go. Then she tried again a short while later, but her boyfriend at the time talked her out of it. Finally, she made the trip west when she and her boyfriend broke up. Lana took her XXX stardom into her own hands, applying on many different websites until a couple agencies contacted her to come out to LA. She sent an agent some nude pictures and that was that. While her path to porn may sound somewhat cliché, her sexual progression has been a whole lot less conventional. In fact, she has stated in interviews that she started off by having sex with other girls, and then transitioned straight into anal sex before she lost her vaginal virginity to anyone. The reason, which she described in video interview, was all about simply being too tight to take a cock in her front fuck hole. As she explained, she had a really, really tight vagina and that made it hurt really badly every time she tried to let a man fuck her. Nothing would fit in there, so she offered up her ass instead and focused on anal because it was easier. Like a lot of girls you may already know, women who leave their pussy for last are often much better in bed as a result. Months spent sucking off men while trying to make up for the fact that she couldnt really fuck probably have a lot to do with why her deepthroat blowjob skills are now nearly flawless. Unlike a lot of girls, Lana Rhoades gobbles dick from tip to base without so much as a gurgle from her bottomless gullet! When she first started filming porn videos, Lana Rhoades kept her asshole off limits, which also isnt surprising since agents often tell new pornstars they can demand a premium for their first anal scene if they build up a big audience before gaping their backdoor for a costars cock. Now the limit has been lifted and youll find Lana Roades getting Double Penetrated by huge cocks in some of her favorite porn videos. As for what really turns her on the most? She likes butts. With girls, she loves big juicy asses and whether she is being fucked by a man or a woman, Lana isnt just about watching or squeezing that ass, she needs to get her tongue busy! I like to lick assholes and stick my face in peoples butts, though she laments the fact that most guys wont","['Bang Bros Network', 'Girlsway', 'Passion-HD']","{'Twitter': 'https://www.twitter.com/lanarhoades', 'Snapchat': 'https://www.snapchat.com/add/buttsnvlogs', 'Instagram': 'https://www.instagram.com/lanarhoades'}","{'Relationship status': 'Open', 'Interested in': 'Guys and Girls', 'City and Country': 'Los Angeles, US', 'Pornstar Profile Views': '305,211,683', 'Career Status': 'Active', 'Career Start and End': 'to                        Present', 'Gender': 'Female', 'Birth Place': 'Chicago, Illinois, United States of America', 'Star Sign': 'Virgo', 'Measurements': '34D-23-35', 'Height': '5 ft 5 in (165 cm)', 'Weight': '115 lbs (52 kg)', 'Ethnicity': 'White', 'Hair Color': 'Brunette', 'Fake Boobs': 'No', 'Profile Views': '376,133,563', 'Videos Watched': '43'}",2.0,2.0,[2],2.0,1900000.0
1,Angela White,https://www.pornhub.com/pornstar/angela-white,3,851,1200000000,https://ei.phncdn.com/(m=eQJ6GCjadOf)(mh=cJBLtFxms5ElMzU5)a083f228-1fda-4802-9115-0540861f5f24.jpg,True,True,"Although she now resides in California, this busty stunner from down under will always be Australian at heart, and a very accomplished one at that. Becoming a top-5 Pornstar is no easy feat! 

From the first moment Angela was introduced to pornography, she knew she wanted to be part of it. ""I wanted to be able to express and explore my sexuality in a safe environment with other open-mined sex positive people."" Seeing how diversity in the industry was celebrated inspired her to be a part of it. 

Angela White has performed in roughly 100 adult movies with the industry’s top names, spanning genres like solo, big tits, all girl, blowjob, anal, double penetration, group sex, and more.  

Her epic double G boobs are as natural as her ability to captivate millions of men and women alike. 

Named Voluptuous Model of the Year by Score Magazine in 2007, Angela White made her first TV appearance that same year on the Australian comedy series Pizza. As the first Australian model to pose for The Score Group, she was among their top 10 models of the decade in 2009. 

XBIZ has called Angela White “Australia’s most well-known adult performer.” An AVN and XRCO Hall of Famer, White was named Female Performer of the Year eight times between 2016 and 2020. She collected five AVN trophies for Most Spectacular Boobs. With too many accomplishments to list in detail, she has won at least 70 awards collectively from AVN, XBIZ, NMAE, XRCO, and Pornhub! She has even co-hosted the AVN Awards Show. 

Much more than just an adult performer, Angela studied at the University of Melbourne for several years and graduated with first class honors. Some of her written work has also been published. 

Being a strong advocate for sexual health and expression, she even dipped her toes in politics by running for the Australian Sex Party in a Victorian state election to advocate for sex workers’ rights. Having broken into the mainstream, White has appeared on news programs and documentaries. In 2019, one of her clips was featured in the HBO comedy series Mrs. Fletcher. 

Outside of porn, Angela enjoys listening to rock music and traveling to places like Las Vegas. 

With a massive social media fanbase, her Instagram alone is approaching 10 million followers! Words cannot possibly convey the unstoppable force that Angela White has become in the adult industry and beyond. 

Angela White’s best HD videos are featured here on PornHub, helping to paint a glorious picture of her superstardom!","['Girlsway', 'Brazzers', 'Evil Angel']","{'Official Site': 'https://onlyfans.com/angelawhite?c=2', 'Twitter': 'https://www.twitter.com/angelawhite', 'Amazon Wishlist': 'https://www.amazon.com/hz/wishlist/ls/3NDAHFUURSTO2?ref_=wl_share', 'Instagram': 'https://www.instagram.com/theangelawhite'}","{'Relationship status': 'Single', 'Interested in': 'Guys and Girls', 'City and Country': 'Los Angeles, US', 'Pornstar Profile Views': '168,290,313', 'Career Status': 'Active', 'Career Start and End': '2003                        to                        Present', 'Gender': 'Female', 'Birth Place': 'Sydney, New South Wales, Australia', 'Star Sign': 'Pisces', 'Measurements': '40GG-28-38', 'Height': '5 ft 3 in (160 cm)', 'Weight': '130 lbs (59 kg)', 'Ethnicity': 'White', 'Background': 'Australian', 'Hair Color': 'Brunette', 'Eye Color': 'Blue', 'Fake Boobs': 'No', 'Tattoos': 'Yes', 'Piercings': 'No', 'Profile Views': '173,398,779', 'Videos Watched': '404'}",3.0,3.0,[3],4.0,902000.0
2,Eva Elfie,https://www.pornhub.com/pornstar/eva-elfie,4,193,1000000000,https://ei.phncdn.com/pics/users/683/394/291/avatar1551823518/(m=eQJ6GCjadOf)(mh=ELHnxUjOxO581xrF)200x200.jpg,True,True,"About Eva Elfie

                                    Hey! 
I'm a young Siberian girl and I want to play a game with you) Rules are simple: you cum, I win ^_^
Stop wasting your time - my tiny pussy is waiting for your sweet hot cum.","['Wow Girls', 'Ultra Films', 'Pornhub Models']","{'Official Site': 'https://onlyfans.com/evaelfie', 'Twitter': 'https://www.twitter.com/@EvaElfie', 'Snapchat': 'https://www.snapchat.com/add/theevaelfie', 'Instagram': 'https://www.instagram.com/theevaelfie'}","{'Relationship status': 'Single', 'Interested in': 'Guys and Girls', 'City and Country': 'Moscow, RU', 'Pornstar Profile Views': '227,171,617', 'Career Status': 'Active', 'Career Start and End': '2018                        to                        Present', 'Gender': 'Female', 'Birth Place': 'Russia', 'Star Sign': 'Gemini', 'Measurements': '34C-24-35', 'Height': '5 ft 4 in (163 cm)', 'Weight': '100 lbs (45 kg)', 'Ethnicity': 'White', 'Background': 'Russian', 'Hair Color': 'Grey', 'Eye Color': 'Green', 'Fake Boobs': 'No', 'Tattoos': 'No', 'Piercings': 'No', 'Interests and hobbies': 'Most of all I like playing computer games, but also I can play with some more interesting toys) And sometimes I read books without any clothes - I will definetely show It to you ;)', 'Turn Ons': 'Smart people, shy boys and girls kisses.', 'Profile Views': '301,506,034', 'Videos Watched': '366'}",4.0,4.0,[4],3.0,2200000.0
3,Abella Danger,https://www.pornhub.com/pornstar/abella-danger,5,1085,1900000000,https://ei.phncdn.com/pics/users/730/712/871/avatar1549999303/(m=eQJ6GCjadOf)(mh=IIRoTk62qM6Ed4Np)200x200.jpg,True,True,"Danger might be her last name, but when it comes to Abella Danger, we’re the ones in danger… of cumming too fast. The combo of perky tits and one of porn’s healthiest butts are paired perfectly on this adorable, olive-skinned brunette. She’s so cute that you’d never expect how nasty she can be, but we know better. She’s super nasty. Born in Miami in 1995, and of Ukrainian descent, Bella (as she is sometimes called) entered porn in 2014 and has been a bad, busy girl ever since. She made a big splash (and not just from squirting) when the Spiegler Girls talent agency picked her up and helped her win the 2016 AVN and XBIZ awards for Best New Starlet. Abella previously intended to become an international flight attendant. Joining the mile-high club with a flight attendant sounds great, but we’re glad she chose porn so that the whole world could benefit from her talents. And talents she has. This girl can suck a dick like nobody’s business! At 5’4” and 130lbs, this trained ballet dancer is as flexible as they come (and cum). Doing full splits on my cock? Yes, please! Since her debut she’s tried just about everything. Anal, choking, deep-throat, girls, guys… you name it; the super kinky Abella is the hottest at it. Abella says the industry just fell in her lap, but we’d rather she just fell in ours.","['Bang Bros Network', 'Brazzers', 'Reality Kings']",NA,"{'Relationship status': 'Single', 'Interested in': 'Guys and Girls', 'City and Country': 'Los Angeles, US', 'Pornstar Profile Views': '201,946,070', 'Career Status': 'Active', 'Career Start and End': 'to                        Present', 'Gender': 'Female', 'Birth Place': 'Miami, Florida, United States of America', 'Star Sign': 'Scorpio', 'Measurements': '32C-24-32', 'Height': '5 ft 4 in (163 cm)', 'Weight': '130 lbs (59 kg)', 'Ethnicity': 'White', 'Hair Color': 'Brunette', 'Fake Boobs': 'No', 'Profile Views': '232,250,327', 'Videos Watched': '32'}",5.0,5.0,[5],5.0,1300000.0
4,Alex Adams,https://www.pornhub.com/pornstar/alex-adams,7,416,2800000000,https://ei.phncdn.com/pics/users/372/679/361/avatar1521542417/(m=eQJ6GCjadOf)(mh=-yLwBdGLcw0TTgpH)200x200.jpg,True,True,"About Alex Adams

                                    Hi I'm Alex, I love making cool role play videos. Thanks for watching:)
Onlyfans.com/alexadamsxxx for full episodes of Hookup Therapy & more
AnalTherapyXXX.com FamilyTherapyXXX.com MomComesFirst.com PerfectGirlfriend.com to watch full versions of my new videos.  
All videos are fantasy role play scenarios involving consenting fictional characters. All models are consenting unrelated adults.","['Hot Crazy Mess', 'Bratty Sis', 'Perv Mom']",{'Official Site': 'https://linktr.ee/AlexAdamsMedia'},"{'Relationship status': 'Single', 'Interested in': 'Girls', 'Pornstar Profile Views': '246,929,216', 'Career Status': 'Active', 'Career Start and End': 'to                        Present', 'Gender': 'Male', 'Measurements': '--', 'Height': '5 ft 10 in (178 cm)', 'Weight': '184 lbs (83 kg)', 'Ethnicity': 'White', 'Hair Color': 'Brunette', 'Eye Color': 'Blue', 'Profile Views': '281,420,901', 'Videos Watched': '979'}",8.0,7.0,[7],10.0,1100000.0
5,Riley Reid,https://www.pornhub.com/pornstar/riley-reid,8,829,1800000000,https://ei.phncdn.com/pics/users/181/451/091/avatar1469126376/(m=eQJ6GCjadOf)(mh=eVhoHEtxtHGgB_sL)200x200.jpg,True,True,"American pornstar Riley Reid was born in May of 1991 in Florida. She is of Dutch, Irish, Welsh, German, Puerto Rican and Dominican decent. That genealogical combination seems to have given her both incredible beauty and personality. At 54"", this natural cutie is a petite 32A cup – proof you dont need giant tits to make it in the XXX industry. We love small tits and we love her tits. We just love tits. > Since Riley Reid entered the industry in 2011, shes had high-profile roles, so she jumped into porn stardom with both tits up. Her first performance was with Vivid Entertainment in ""Brand New Faces 36"", and she was featured on the DVD box cover, which is rare for a new performer. She has since filmed with XXX powerhouses like Jules Jordan, Evil Angel, and AMKingdom. Jules Jordan became so enamored of her that they made an entire series based around her called ""Ultimate Fuck Toy Riley Reid"". > From softcore to using two toys at once, a long hard fucking, or fucking in public, Riley Reid has a sexual stamina that wont quit. Riley maintains that porn has not changed her as a person. She continues to champion the idea that women dont need to have bigger tits to be sexy and refuses to get a breast augmentation. Her puffy nipples are the most sensitive parts of her body, so we agree with her assertion about small tits being sexy. > In 2013-2014, Riley Reid won XBIZ awards for Best New Starlet and Female Performer of the Year, making her the first performer to ever win both awards consecutively. In 2014 she did her first interracial in ""Mandingo Massacre 6"", for which she won an AVN Award. Then in 2015 she shot her first anal and double penetration scene with Tushy in ""Being Riley"", for which she won Best Anal Scene, Best Double Penetration and Best Girl/Girl in 2016. That same year, she won Female Performer of the Year, as well as two fan awards: Favorite Female Performer and Social Media Star. With a repertoire like that, Riley Reid has clearly ridden her way to the top.","['Bang Bros Network', 'Jules Jordan', 'Twistys']","{'Official Site': 'https://onlyfans.com/rileyreidx3?c=2', 'Twitter': 'https://www.twitter.com/rileyreidx3', 'Instagram': 'https://www.instagram.com/hellorileyreid'}","{'Relationship status': 'Taken', 'Interested in': 'Guys and Girls', 'City and Country': 'Los Angeles, US', 'Pornstar Profile Views': '243,854,774', 'Career Status': 'Active', 'Career Start and End': '2011                        to                        Present', 'Gender': 'Female', 'Birth Place': 'Loxahatchee, Florida, United States of America', 'Star Sign': 'Cancer', 'Measurements': '32A-25-36', 'Height': '5 ft 4 in (163 cm)', 'Weight': '108 lbs (49 kg)', 'Ethnicity': 'White', 'Hair Color': 'Blonde|Brunette', 'Fake Boobs': 'No', 'Tattoos': 'Yes', 'Profile Views': '226,524,634', 'Videos Watched': '299'}",7.0,8.0,[8],7.0,2000000.0
6,Mia Malkova,https://www.pornhub.com/pornstar/mia-malkova,9,586,866000000,https://ei.phncdn.com/(m=bLqDuhKlbyaT)(mh=CvCwz5EvuBNJ2r0z)400f85ed-e530-4e44-b745-cd661dc804e2.jpg,True,True,"Some girls are so damn hot that they can get you bent out of shape. Well, tawny blonde Mia Malkova can bend her body into any shape she pleases, and that’s sure to please all of the horny cocks and wet pussies out there. This girl has acrobatic and contortionist abilities that could even twist a pretzel into a new knot. Ankles behind her neck and feet over her back so she can kiss her toes, turned, twisted and gyrating, she can fuck any which way she wants. And that ass! Talk about perfection… maybe it’s all the acrobatic work that keeps it in such gorgeous shape? Who cares really, because you just want to take a big bite out of it and never let go. But it’s not all about body. Mia’s also got a great smile, which might not sound kinky, but trust us, it’s a smile that will heat up your innards and drop your pants. Is it her golden skin, her innocent pink lips or that heart-shaped face? There’s just too much good stuff going on with Mia Malkova, which is maybe why these past few years have heaped awards upon awards on this Southern California native. Mia has the honor of being Brazzers contract girl under her belt, so you know she’s only going for top-notch scenes with top-game performers, men and women. Better hit up that yoga studio if you ever dream of being able to bang a flexible and talented chick like Lady Malkova.","['Bang Bros Network', 'Twistys', 'Brazzers']","{'Official Site': 'https://www.miamalkova.com', 'Twitter': 'https://www.twitter.com/miamalkova', 'Snapchat': 'https://www.snapchat.com/add/Snapmiamalkova', 'Instagram': 'https://www.instagram.com/miamalkova'}","{'Relationship status': 'Single', 'Interested in': 'Guys and Girls', 'Pornstar Profile Views': '216,014,518', 'Career Status': 'Active', 'Career Start and End': '2012                        to                        Present', 'Gender': 'Female', 'Birth Place': 'Palm Springs, California, United States of America', 'Star Sign': 'Gemini', 'Measurements': '33C-21-40', 'Height': '5 ft 8 in (173 cm)', 'Weight': '119 lbs (54 kg)', 'Ethnicity': 'White', 'Hair Color': 'Blonde', 'Fake Boobs': 'Yes', 'Tattoos': 'No', 'Piercings': 'No', 'Profile Views': '199,384,929', 'Videos Watched': '1,185'}",9.0,9.0,[9],9.0,1500000.0
7,Violet Myers,https://www.pornhub.com/pornstar/violet-myers,10,300,527000000,https://ei.phncdn.com/pics/users/700/361/351/avatar1604775340/(m=eQJ6GCjadOf)(mh=iR4DI2svC92PJUEg)200x200.jpg,True,True,"About Violet Myers

                                    HI, I'm VIOLET MYERS and I’m your real life hentai girl. I started my porn career in august of 2018 and it has been up since. I really enjoy what I do and what I have brought to the industry. I'm Mexican and Turkish so that means I'm mixed. I always get either middle eastern or latina but I am both! I really enjoy giving oral sex as you can tell by my work. I also go by sloppy toppy goddess. But follow along my sexual journey by subscribing to my Pornhub channel and support me in all of my naughty adventures.","['Bang Bros Network', 'Mia Khalifa', 'Jerkaoke']",{'Official Site': 'https://onlyfans.com/violetmyers?c=2'},"{'Relationship status': 'Single', 'Interested in': 'Guys and Girls', 'City and Country': 'Los Angeles, US', 'Pornstar Profile Views': '101,851,622', 'Career Status': 'Active', 'Career Start and End': '2018                        to                        Present', 'Gender': 'Female', 'Birth Place': 'Los Angeles, California, United States of America', 'Star Sign': 'Pisces', 'Measurements': '34DDD-28-36', 'Height': '5 ft 3 in (160 cm)', 'Weight': '133 lbs (60 kg)', 'Ethnicity': 'Latin', 'Background': 'American', 'Hair Color': 'Black', 'Eye Color': 'Brown', 'Fake Boobs': 'No', 'Tattoos': 'No', 'Piercings': 'No', 'Interests and hobbies': 'Working Out, Reading manga, Watching anime, Spending time with family and close friends', 'Turn Ons': 'Kissing, Cologne, Weeb, Confidence,', 'Turn Offs': 'Dirty Hygiene, Stuck Up, Show Offs', 'Profile Views': '100,350,277', 'Videos Watched': '117'}",11.0,10.0,[10],8.0,538000.0
8,Johnny Sins,https://www.pornhub.com/pornstar/johnny-sins,11,1017,2500000000,https://ei.phncdn.com/(m=bLqDuhKlbyaT)(mh=Ou_3gkprRhc3k583)8463a828-afb9-4e4f-85be-9b568c1a9160.jpg,True,True,"Some wise-ass once said: every worthy battle needs a formidable opponent. Well, on-screen fucking isnt exactly a battle, but there is definitely a lot of hardcore back and forth power involved. This is why for every amazing female porn star out there they need a big, strong, energetic guy who really knows how to give it like hes leading the charge of the light brigade. There is nothing that Johnny Sins cant handle. If you want to see a  get lifted up and held upside down for some standing 69, you need Johnny Sins. If you want to see a thick set busty MILF get lifted off her back and get fucked so hard her flesh ripples, you need Johnny Sins. This guy is all muscle, power, and massive dick, and hes got the stamina to take on multiple cunts and asses for your wanking pleasure. Johnny pounds that puss like a running back riding a steed through battle. Hes made more eyeliner run than every sad movie watched on Valentines Day by single horny girls. Hes left more girls limping than cheerleader practice on tequila. Hes six feet tall of muscle and fuck power and has got just as much length stretching out horizontally. When this guy isnt fucking, hes known to hit the gym or just kick back and play video games. So its easy to imagine Johnny is just one of the boys, except hes your pal who gets the most poon.","['Brazzers', 'Reality Kings', 'Vixen']","{'Twitter': 'http://www.twitter.com/JohnnySins', 'Instagram': 'http://www.Instagram.com/@MostTalentedBaldMan'}","{'Relationship status': 'Open', 'Interested in': 'Girls', 'City and Country': 'Los Angeles, US', 'Pornstar Profile Views': '86,109,057', 'Career Status': 'Active', 'Career Start and End': '2006                        to                        Present', 'Gender': 'Male', 'Birth Place': 'Pennsylvania, United States of America', 'Star Sign': 'Capricorn', 'Measurements': '--', 'Endowment': '7-9""', 'Height': '6 ft 0 in (183 cm)', 'Weight': '175 lbs (79 kg)', 'Ethnicity': 'White', 'Background': 'Italian', 'Hair Color': 'Brunette', 'Eye Color': 'Blue', 'Foreskin': 'Cut', 'Tattoos': 'No', 'Piercings': 'No', 'Profile Views': '122,237,276', 'Videos Watched': '1,077'}",12.0,11.0,[11],12.0,546000.0
9,Lexi Luna,https://www.pornhub.com/pornstar/lexi-luna,12,402,499000000,https://ei.phncdn.com/pics/users/312/403/491/avatar1575051125/(m=eQJ6GCjadOf)(mh=gifH6jXAEDmChqlU)200x200.jpg,True,False,"Hot brunette Lexi Luna is a former sex educator. She was always teaching her friends about the best ways to have sex, so they werent surprised when Lexi became a pornstar. Lexi posted some racy photos of herself on kinky social network Fetlife, at which point an industry recruiter saw them and thought shed be perfect for porn. Lexi is 5 feet 7 inches tall and weighs 134 pounds. She has 34DD tits and a 27-inch waist, and her big ass is an astonishing 39 inches wide. She has curves in all the right places! In addition to making porn movies, shes also a dedicated live webcam performer. If you want to watch her live, follow her Twitter account where she has tens of thousands of followers. There she will let you know when she has an upcoming show. > Lexi doesnt have any tattoos, but her belly button is pierced. Her hair is usually a dark or light shade of brown. Entering porn at age 27, which is late by industry standards, Lexis fresh face could pass her off as a 22-year-old college slut! Having left her regular job to pursue adult modeling, Lexi is proud to have a college education. Ms. Luna has a kinky side to her and she loves to be dominant. She enjoys spanking guys and wearing hot outfits like a corset or thigh-high boots to show her power. If you want a versatile and professional slut, Lexi is your gal.","['1111 Customs', 'Brazzers', 'Cam Soda']","{'Official Site': 'https://www.iWantLexi.com', 'Twitter': 'https://www.twitter.com/Lexilunaxoxo', 'Snapchat': 'https://www.snapchat.com/add/Lexilunaxoxo', 'Instagram': 'https://www.instagram.com/beyondlexpectations'}","{'Relationship status': 'Open', 'Interested in': 'Guys and Girls', 'City and Country': 'Las Vegas, US', 'Pornstar Profile Views': '57,354,928', 'Career Status': 'Active', 'Career Start and End': '2016                        to                        Present', 'Gender': 'Female', 'Birth Place': 'Florida, United States of America', 'Star Sign': 'Pisces', 'Measurements': '34DD-27-40', 'Height': '5 ft 7 in (170 cm)', 'Weight': '126 lbs (57 kg)', 'Ethnicity': 'White', 'Hair Color': 'Brunette', 'Eye Color': 'Brown', 'Fake Boobs': 'Yes', 'Tattoos': 'No', 'Piercings': 'No', 'Profile Views': '60,206,300', 'Videos Watched': '178'}",20.0,12.0,[12],15.0,427000.0
